title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
restraint and handling for veterinary technicians and assistants,"covers the requirements for restraining animals in a way that is safe for both the patient and the restrainer written in a ""how to"" format, this book details information necessary for proper restraint for small animals (dogs, cats) and large animals (horses, cattle, goats, pigs, llamas) as well as some exotics (ferrets, rabbits, birds, guinea pigs)-- source other than the library of congress",unit 1 small animal restraint -- ch 1 principles of restraint in veterinary practice -- ch 2 restraint tools and techniques for small animals -- ch 3 restraint of dogs -- ch 4 restraint of cats -- ch 5 restraint of exotic pets -- unit 2 large animal restraint -- ch 6 ropes and knots -- ch 7 restraint of the horse -- ch 8 restraint of cattle -- ch 9 restraint of the goat -- ch 10 restraint of the pig -- ch 11 restraint of the llama,['animal immobilization'],['animal immobilization'],s,{'animal immobilization': 1}
modern midges : tying and fishing the world's most effective patterns,"features over 1,000 midge patterns from around the world, tying steps for 15 essential pattern styles, and fishing tips from experts on rivers, reservoirs, and lakes",discovering the midge -- why midges? -- midge life cycle overview -- tying midges -- tying the larva -- thread body larva -- d rib larva -- latex larva -- larva patterns -- tying the pupa -- thread body pupa -- mercury black beauty -- mini bow tie buzzer -- pupa patterns -- tying the emerger -- olive and gray glitter wing emerger -- foam wing emerger -- upto's midge emerger -- emerger patterns -- tying the adult -- tak's biot wing adult -- cdc wing adult -- mule midge -- griffith's gnat -- high post midge cluster -- black midge cluster -- adult patterns -- cluster patterns -- fishing the midge : tips from the masters -- curing the fly fisher's curse / eric pettine -- the midge game / craig mathews -- reading the river / jerry hubka -- the natural drift / jerry l saiz -- sight-fishing strategies / rick takahashi -- keep your flies clean -- alternative nymphing strategies / rick takahashi -- let the fish settle down -- strike indicator strategies / rick takahashi -- micro-indicators / jason borger -- in the zone / stan benton -- matching the hatch / rick takahashi -- adjusting your rig / jerry hubka -- a better two-fly rig / jeff ehlert -- fluorocarbon advantages / jerry hubka -- stillwater tactics / brian chan -- basic lake techniques / rick takahashi -- essential lake equipment -- buzzer fishing / alex ferguson -- dry-fly tips / bubba smith -- keeping high and dry / rick takahashi -- drift-boat tactics / ron yoshimura -- splatting the midge / kevan evans -- midges for migratory trout / landon mayer -- midge musings / ed engle -- déjà vu rainbow / gary a borger,"['fly fishing', 'fly tying', 'diptera']","['fishing lures', 'saltwater fly fishing', 'fishing baits']",s,"{'fly fishing': 5, 'fly tying': 4, 'diptera': 68}"
grassland : quietness and strength for a new american agriculture,this book takes on the task of increasing our awareness of the vital role grass and grassland plants have in ensuring a sustainable future for america--[book cover],"pt 1 past is prologue grass in the timeline of agriculture / frederick kirschenmann, terry gompert, and allen williams -- ha wallace, jj ingalls, os aamodt, and other voices of the 19th and 20th centuries / vivien gore allen and john herschel fike -- reflections from 'grass: the 1948 yearbook of agriculture' / walter f wedin and steven l fales -- pt 2 the present: transitions over 60 years grassland: definition, origins, extent, and future / matt s sanderson, david wedin, and ben tracy -- the western united states rangelands: a major resource / kris havstad,[et al] -- grazinglands, forages, and livestock in humid regions / craig c sheaffer,[et al] -- grass-based farming systems: soil conservation and environmental quality / jeremy w singer, alan j franzluebbers, and douglas l karlen -- urban, suburban, and rural amenities of grass / a j turgeon -- pt 3 the forward look: opportunities and challenges grasses and legumes: genetics and plant breeding / e charles brummer,[et al] -- people, grassland, and livestock in revitalized rural communities / paul lasley,[et al] -- grass and human nutrition / heather d karsten and david j baer -- grasses and legumes for cellulosic bioenergy / ms casler,[et al] -- grasses and legumes for bio-based products / paul j weimer and j bradley morris -- the road ahead: policy, programs, and progress / dj undersander, jh boulton, and ma massengale","['pastures', 'sustainable agriculture']","['agricultural ecology', 'field crops']",s,"{'pastures': 18, 'sustainable agriculture': 24}"
"homegrown vegetables, fruits, and herbs : a bountiful, healthful garden for lean times","""home grown vegetables"" can help aspiring gardeners avoid disappointment or failure with their first gardens and help families who are already growing food crops to grow more and reduce their food costs","why grow your own? -- where and how does your garden grow? -- understanding your soil -- all the tools you need -- the three 'e's : ease, economy, & enjoyment -- selected vegetables -- selected fruits -- selected herbs -- advances in organic food gardening -- modern victory gardens -- zone maps","['vegetable gardening', 'vegetables', 'herb gardening', 'fruit-culture', 'garden fertilizers', 'garden tools', 'victory gardens', 'organic gardening']","['vegetable gardening', 'organic gardening']",s,"{'vegetable gardening': 1, 'vegetables': 5, 'herb gardening': 4, 'fruit-culture': 52, 'garden fertilizers': 149, 'garden tools': 291, 'victory gardens': 575, 'organic gardening': 2}"
sustainable agriculture,"sustainable agriculture is an alternative for solving fundamental and applied issues related to food production it integrates biological, chemical, physical, ecological, economic and social sciences in a comprehensive way to develop new farming practices that are safe and do not degrade our environment--[book cover]","i climate change soils and sustainable agriculture: a review; soils and food sufficiency: a review / rattan lal -- denitrification at sub-zero temperatures in arable soils: a review / rebecca l phillips -- re-thinking the conservation of carbon, water and soil: a different perspective / thomas francis shaxson -- cropping systems, carbon sequestration and erosion in brazil: a review / martial bernoux,[et al] -- influence of land use on carbon sequestration and erosion in mexico: a review / jd etchevers,[et al] -- rhizodeposition of organic c by plant: mechanisms and controls / christophe nguyen -- environmental costs and benefits of transportation biofuel production from food- and lignocellulose-based energy crops: a review / enrico ceotto -- plant drought stress: effects, mechanisms and management / m farooq,[et al] -- ii genetically modified organisms pharmaceutical crops in california, benefits and risks: a review / michelle marvier -- coexistence of genetically modified and non-gm crops in the european union: a review / yann devos,[et al] -- agro-environmental effects due to altered cultivation practices with genetically modified herbicide-tolerant oilseed rape and implications for monitoring: a review / f graef -- bacillus thuringiensis: applications in agriculture and insect resistance management: a review / vincent sanchis and denis bourguet -- genetically modified glyphosate-tolerant soybean in the usa: adoption factors, impacts and prospects: a review / sylvie bonny iii biodiversity small eats big: ecology and diversity of bdellovibrio and like organisms, and their dynamics in predator-prey interactions / shemesh yair,[et al] -- identification of traits implicated in the rhizosphere competence of fluorescent pseudomonads: description of a strategy based on population and model strain studies / xavier latour,[et al] -- progress in mechanisms of mutual effects between plants and the environment / hong-bo shao, li-ye chu, and biao li -- biodiversity: function and assessment in agricultural areas: a review / boris clergue,[et al] -- mixing plant species in cropping systems: concepts, tools and models: a review / e malézieux,[et al] -- saffron, an alternative crop for sustainable agricultural systems, a review / f gresta,[et al] -- digital imaging information technology applied to seed germination testing: a review / antonio dell' aquila -- iv alternative control managing weeds with a dualistic approach of prevention and control: a review / randy l anderson -- mechanical destruction of weeds: a review / d chicouene -- sustainable pest management for cotton production: a review / jean-philippe deguine, pierre ferron, and derek russell -- role of nutrients in controlling plant diseases in sustainable agriculture: a review / christos dordas -- crop protection, biological control, habitat management and integrated farming / pierre ferron and jean-philippe deguine -- using grassed strips to limit pesticide transfer to surface water: a review / jean-guillaume lacas,[et al] -- v alternative fertilisation recycling biosolids and lake-dredged materials to pasture-based animal agriculture: alternative nutrient sources for forage productivity and sustainability: a review / gilbert c sigua -- symbiotic nitrogen fixation in legume nodules: process and signaling: a review / neera garg and geetanjali -- factors responsible for nitrate accumulation: a review / anjana,shahid umar, and muhammad iqbal -- role of phosphate solubilizing microorganisms in sustainable agriculture, a review / mohammad saghir khan, almas zaidi, and parvaze a wani -- iron and zinc biofortification strategies in dicot plants by intercropping with gramineous species; a review / y zuo and f zhang -- soil exploration and resource acquisition by plant roots: an architectural and modeling point of view / claude doussan loïc pagès, and alain pierret -- methods for studying root colonization by introduced beneficial bacteria / elisa gamalero,[et al] vi new farming systems sustainable urban agriculture in developing countries; a review / hubert de bon, laurent parrot, and paule moustier -- nitrogen, sustainable agriculture and food security: a review / jhj spiertz -- conversion to organic farming: a multidimensional research object at the crossroads of agricultural and social sciences: a review / stéphane bellon and claire lamine -- triggering transitions towards sustainable development of the dutch agricultural sector: transforum's approach / a veldkamp,[et al] -- spatialising crop models / robert faivre,[et al] -- iterative design and evaluation of rule-based cropping systems: methodology and case studies, a review / philippe debaeke,[et al] -- agri-environmental indicators t assess cropping and farming systems: a review / christian bockstaller,[et al] -- methodological progress in on-farm regional agronomic diagnosis: a review / thierry doré,[et al] -- ex ante assessment of the sustainability of alternative cropping systems: implications for using multi-criteria decisions-aid methods, a review / walid sadok,[et al] -- comparison of methods to assess the sustainability of agricultural systems: a review / christian bockstaller,[et al] -- soil-erosion and runoff prevention by plant covers: a review / víctor hugo durán zuazo and carmen rocío rodríguez pleguezuelo -- integration of soil structure variations with time and space into models for crop management: a review / j roger-estrade,[et al] -- management of grazing systems: from decision and biophysical models to principles for action / michel duru and bernard hubert -- vii pollutants in agrosystems cadmium in soils and cereal grains after sewage-sludge application on french soils: a review / denis baize -- mobility, turnover and storage of pollutants in soils, sediments and waters: achievements and results of the eu project aquaterra, a review / jac barth,[et al] / effect of metal toxicity on plant growth and metabolism: i zinc / gyana ranjan rout and premananda das -- phytoremediation of organic pollutants using mycorrhizal plants: a new aspect of rhizosphere interactions / erik jautris joner and corinne leyval","['sustainable agriculture', 'agricultural systems', 'agricultural ecology']",['sustainable agriculture'],s,"{'sustainable agriculture': 1, 'agricultural systems': 14, 'agricultural ecology': 4}"
talking tails : the incredible connection between people and their pets,"from our earliest beginnings, we have shared our lives with animals explores the ties that people and their pets have formed, from prehistoric times to present day",pets and people: hearts and smarts -- different pets for different folks -- a cat in the family -- a dog in the family,"['pets', 'human-animal relationships']","['human-animal relationships', 'pets', 'human-animal communication']",s,"{'pets': 2, 'human-animal relationships': 1}"
water gardens & natural pools : design & construction,"over 300 beautiful color photos and an informative text offer practical knowledge for the planning, building, and care of water features in gardens from design to maintenance, all necessary steps are made clear, including planning, building processes, material uses and techniques, and using rainwater as they apply to fountains, biotopes, brooks, swimming pools and ponds, plants and animals step-by-step instructions, informative suggestions, maintenance tips, lists of plants, and plans are included--publisher's description","building materials -- water in action -- biotopes -- swimming pools, wading pools, and kneipp basins -- your own water -- building a brook -- plants in and by the water -- animals in and by the water -- pumps, filters, hoses, and equipment -- pond care","['water gardens', 'ponds', 'water in landscape architecture']","['water gardens', 'water in landscape architecture']",s,"{'water gardens': 1, 'ponds': 48, 'water in landscape architecture': 2}"
soil heavy metals,"""human activities have dramatically changed the composition and organisation of soils industrial and urban wastes, agricultural application and also mining activities resulted in an increased concentration of heavy metals in soils how plants and soil microorganisms cope with this situation and the sophisticated techniques developed for survival in contaminated soils is discussed in this volume the topics presented include: the general role of heavy metals in biological soil systems; the relation of inorganic and organic pollutions; heavy metal, salt tolerance and combined effects with salinity; effects on abuscular mycorrhizal and on saprophytic soil fungi; heavy metal resistance by streptomycetes; trace element determination of environmental samples; the use of microbiological communities as indicators; phytostabilization of lead polluted sites by native plants; effects of soil earthworms on removal of heavy metals and the remediation of heavy metal contaminated tropical land""--publisher's website","soil: the living matrix / helwig hohl and ajit varma -- defi nition of ""heavy metals"" and their role in biological systems / klaus-j appenroth -- soil microbial diversity in relation to heavy metals / shwet kamal, ram prasad, and ajit varma -- uptake and effect of heavy metals on the plant detoxifi cation cascade in the presence and absence of organic pollutants / lyudmila lyubenova and peter schröder -- arbuscular mycorrhiza, heavy metal, and salt tolerance / hermann bothe, marjana regvar, and katarzyna turnau -- quantitative analyses of trace elements in environmental samples: options and (im)possibilities / katarina vogel-mikuš, peter kump, marijan nečemer, primož pelicon, iztok arčon, paula pongrac, bogdan povh, and marjana regvar -- at the crossroads of metal hyperaccumulation and glucosinolates: is there anything out there? / paula pongrac, roser tolrà, katarina vogel-mikuš, charlotte poschenrieder, juan barceló, and marjana regvar -- plants under heavy metal stress in saline environments / valentina kholodova, kirill volkov, and vladimir kuznetsov -- utilizing microbial community structure and function to evaluate the health of heavy metal polluted soils / m belén hinojosa, roberto garcía-ruiz, and josé a carreira -- streptomycete heavy metal resistance: extracellular and intracellular mechanisms / erika kothe, christian dimkpa, götz haferburg, andré schmidt, astrid schmidt, and eileen schutze -- effects of heavy metals on soil enzyme activities / ayten karaca, sema camci cetin, oguz can turgay, and ridvan kizilkaya -- effect of heavy metals on saprotrophic soil fungi / petr baldrian -- copper-containing oxidases: occurrence in soil microorganisms, properties, and applications / harald claus -- biomethylation of heavy metals in soil and terrestrial invertebrates / burkhard knopf and helmut könig -- phytostabilization of lead-polluted sites by native plants / andrea zanuzzi and angel faz cano -- impact of heavy metals on sugarcane / dv yadav, radha jain, and rk rai -- effects of earthworms on the availability and removal of heavy metals in soil / ayten karaca, ridvan kizilkaya, oguz can turgay, and sema camci cetin -- phytoremediation of heavy metal contaminated soils / tj purakayastha and pk chhonkar -- remediation of heavy metal contaminated tropical land / preeti saxena and neelam misra","['plants', 'soils', 'plant-soil relationships', 'soil microbiology', 'heavy-metal tolerant plants']","['heavy-metal tolerant plants', 'soil chemistry', 'soil microbiology', 'soil ecology']",s,"{'plants': 108, 'soils': 49, 'plant-soil relationships': 6, 'soil microbiology': 3, 'heavy-metal tolerant plants': 1}"
carbon sinks and climate change : forests in the fight against global warming,"""reforestation and avoiding deforestation are methods of harnessing nature to tackle global warming - the greatest challenge facing humankind in this book, colin hunt deals comprehensively with the present and future role of forests in climate change policy and practice the author provides signposts for the way ahead in climate change policy and offers practical examples of forestry's role in climate change mitigation in both developed and tropical developing countries chapters on measuring carbon in plantations, their biodiversity benefits and potential for biofuel production complement the analysis he also discusses the potential for forestry in climate change policy in the united states and other countries where policies to limit greenhouse gas emissions have been foreshadowed the author employs scientific and socio-economic analysis and lays bare the complexity of forestry markets a review of the workings of carbon markets, based both on the kyoto protocol and voluntary participation, provides a foundation from which to explore forestry's role emphasis is placed on acknowledging how forests' idiosyncrasies affect the design of markets for sequestered carbon the realization of forestry's potential in developed countries depends on the depth of cuts in greenhouse gas emissions, together with in-country rules on forestry an increase in funding for carbon retention in tropical forests is an immediate imperative, but complexities dictate that the sources of finance will likely be dedicated funds rather than carbon markets""--back cover",the making of markets for carbon and the potential of forestry offsets -- forestry in the kyoto protocol -- forestry in voluntary carbon markets -- biodiversity benefits of reforestation and avoiding deforestation -- measuring the carbon in forest sinks -- forests as a source of biofuels -- forestry in the climate change policies of selected developed countries -- policies for reducing emissions from deforestation and forest degradation (redd),"['carbon sequestration', 'forestry projects', 'global warming']","['sustainable forestry', 'forest policy']",s,"{'carbon sequestration': 57, 'forestry projects': 19, 'global warming': 126}"
mini encyclopedia of dog health,"""the book's opening section covers the practical aspects of keeping a dog it's followed by the main section, which looks at canine body systemsa final section presents a summary of first aid and essential techniques for dealing with emergencies""--p [4] of cover",how to have a healthy dog -- guide to health problems -- first aid and emergencies,"['dogs', 'dogs']","['veterinary emergencies', 'animal health']",s,{'dogs': 55}
training your pet ferret,"furry, cuddly, and bursting with energy, ferrets can be a handful for inexperienced owners learn how to start effective training at any time, whether you adopt an adult ferret or purchase a baby kit","first things first: preparations -- bonding with your buddy -- nipping is a no-no -- safe and sound -- exploring the environment -- poop goes the weasel -- coming when called -- hide and squeak -- click and treat -- special needs, special training -- walking on a leash -- fun and games -- the perfect portable pet -- have ferret, will travel -- sitting pretty -- stay out of those houseplants -- don't sweep the carpet problem under the rug -- odds 'n' ends -- reaping your reward","['ferret', 'ferrets as pets']","['ferrets as pets', 'ferret']",s,"{'ferret': 2, 'ferrets as pets': 1}"
"western garden book of edibles : the complete a to z guide to growing your own vegetables, herbs, and fruits","provides complete instructions for gardens of all sizes, in the ground and in containers experience food gardening as never before!",introduction -- vegetables -- herbs -- berries -- fruits -- nuts -- tropicals -- garden design -- practical guide,"['gardening', 'plants, edible', 'fruit-culture', 'vegetable gardening', 'gardens']","['edible landscaping', 'vegetable gardening']",s,"{'gardening': 69, 'plants, edible': 7, 'fruit-culture': 22, 'vegetable gardening': 2, 'gardens': 80}"
"hermit crabs : everything about purchase, care, and nutrition",hermit crabs are easy to care for and make interesting and even decorative additions to your aquarium here is information and advice to help you take good care of them,about hermit crabs -- hermit crab anatomy -- hermit crab ecology -- buying hermit crabs -- hermit crabs as pets -- setting up the cage -- feeding hermit crabs -- hermit crab behavior -- hermit crab reproduction -- hermit crab ailments,"['hermit crabs as pets', 'hermit crabs']","['hermit crabs as pets', 'hermit crabs', 'invertebrates as pets']",s,"{'hermit crabs as pets': 1, 'hermit crabs': 2}"
decorating with flowers : classic and contemporary arrangements,the best of paula pryke's classic and contemporary floral arrangements--in an accessible format to inspire novice and expert alike,essential flower care -- colorful creations green flowers ; white flowers ; blue flowers ; pink flowers ; red flowers ; orange flowers ; yellow flowers -- flowers around the home glass ; ceramic ; natural materials ; unusual containers ; repeat designs ; wreaths -- flowers for giving bouquets ; wrapping ; valentin's day ; mother's day ; birthdays -- decorating your table centerpieces ; napkin decorations -- special events entertaining family and friends ; birthdays ; christenings ; christmas ; weddings -- techniques,"['flower arrangement in interior decoration', 'flower arrangement']","['floral decorations', 'flower arrangement in interior decoration']",s,"{'flower arrangement in interior decoration': 2, 'flower arrangement': 3}"
deforestation and climate change : reducing carbon emissions from deforestation and forest degradation,"""deforestation and forest degradation have long been recognized as environmental problems, with concerns over conservation of natural habitats and biological diversity capturing both scientific and public attention more recently, the debate over tropical forest conservation has radically shifted to the approximately fifteen percent of global greenhouse gas emissions that are caused by deforestation and forest degradation, and to the potential synergies from integrating forest management with climate change policies the goal of this book is to shed light on some of the major concerns, issues and challenges related to the inclusion of forest carbon in international climate policies, as well as to illustrate some of the potential solutions and paths forward in addition, the book describes the status of redd (reducing emissions from deforestation and forest degradation) in international climate policy negotiations, providing an historical perspective and highlighting the current positions of key international players that will frame the future debate at the national, regional and international level""--p [4] of cover","deforestation and emerging greenhouse gas compliance regimes : toward a global environmental law of forests, carbon and climate governance / william boyd -- from the hague to copenhagen : why it failed then and why it could be different / federica bietta -- the european union's position on redd financing / pedro piris-cabezas -- international forest carbon in the us congress : a survey of key congressional staff / lou leonard, raymond kopp and nigel purvis -- preparing for redd : the forest carbon partnership facility / benoît bosquet, stefano pagiola and andré aquino -- incentives to reduce emissions from deforestation : a stock-flow approach with target reductions / andrea cattaneo -- towards a sound redd : ensuring globally consistent reference scenarios and safeguarding sustainability co-benefits / michael obersteiner [et al] -- financing global forests : the eliasch review / graham floater and duncan stone -- redd and the global carbon market : the role of banking / pedro piris-cabezas -- options on redd as a hedging tool for post-kyoto climate policy / alexander golub -- epilogue : redd past, present, and future / valentina bosetti and ruben lubowski","['deforestation', 'climatic changes']","['rain forest conservation', 'forest conservation', 'forest protection', 'forest policy']",s,"{'deforestation': 13, 'climatic changes': 141}"
the dog selector : how to choose the right dog for you,"this authoritatively written guide gives you all the information you need about the essential character of 130 breeds, enabling you to make an informed decision and find the perfect pet for you-- source othern than library of congress",dogs for beginners -- family-friendly dogs -- good mixers -- low-maintenance dogs -- high-maintenance dogs -- small dogs -- large dogs -- dogs that love to run -- hypoallergenic dogs -- guard dogs -- super-smart dogs -- dogs with talents -- weird and wonderful dogs -- the human selector -- the dog selector,['dogs'],"['dog breeds', 'shih tzu']",s,{'dogs': 65}
the complete idiot's guide to raising goats,"goats are curious, lovable and loyal they produce delicious milk, and their coat yields a versatile fiber prized by many crafters whatever your reasons for wanting to share your life with goats, this is the book for you!",so you want to raise goats -- before you bring home your goats -- getting your goats -- the nature and needs of goats -- caring for your goats -- goat reproduction -- protecting your goats -- what if they get sick? -- producing and using goat milk -- what else can goats do for you?,['goat farming'],"['goat farming', 'kids (goats)', 'pygmy goats as pets', 'goat milk']",s,{'goat farming': 1}
the welfare of domestic fowl and other captive birds,describes the welfare implications of keeping wild and domestic birds in captivity the environmental and social requirements of various avian species are discussed and suggestions made for appropriate housing and management techniques particular attention is paid to human-bird interactions and their impact on the behavior and welfare of the birds involved training methods for companion birds are also described possible future trends in keeping birds in captivity are discussed in relation to evolving laws and codes for both wild and domesticated birds and in the light of developing attitudes to animals,"captive birds -- human-bird interactions -- welfare implications of housing captive wild and domesticated birds -- training companion birds -- welfare of captive birds in the future -- domestic fowl -- physical environment and its effect on welfare -- nutrition, feeding and drinking behaviour, and welfare -- impact of disease on welfare -- managing poultry: human-bird interactions -- welfare and ethical assessment of housing for egg production -- stunning and slaughter -- future of poultry welfare","['aviculture', 'animal welfare']","['cage birds', 'animal welfare', 'domestic animals', 'poultry']",s,"{'aviculture': 56, 'animal welfare': 2}"
composting for dummies,want to use ordinary waste to create an extraordinary garden? learn some back-to-basics gardening that will benefit the earth and your wallet!-- source other than library of congress,composting basics -- selecting a home and method for your compost -- compost happens -- expanding your compost horizons -- the part of tens,['compost'],"['compost', 'container gardening', 'organic gardening']",s,{'compost': 1}
great hunting lodges of north america : wingshooting's finest destinations,"covers lodges in utah, montana, idaho, texas, louisiana, oregon, colorado, abasolo (mexico), kentucky, illinois, south carolina, vifginia, georgia, and tennessee","foreword, by jim lepage -- western shooting lodges -- eastern shooting lodges -- game birds : chukar; dove; ducks and geese; grouse; hungarian partridge; pheasant; quail; woodcock and snipe -- sporting dogs : boykin spaniel; brittany; chesapeake bay retriever; english pointer; english setter; german shorthair; labrador; springer spaniel -- orvis-endorsed dog training programs -- orvis-endorsed dog breeding programs -- lodge directory","['hunting lodges', 'fowling', 'fowling']","['hunting lodges', 'small game hunting', 'white-tailed deer hunting']",s,"{'hunting lodges': 1, 'fowling': 241}"
the life cycle of a cat,"""developed by literacy experts for students in grades kindergarten through three, this book follows cats as they transform from birth to adult through leveled text and related images, young readers will watch these creatures grow through every stage of life""--provided by publisher",what are cats? -- the kitten stage -- the adult stage,['cats'],"['library cats', 'cat owners', 'cats']",s,{'cats': 3}
the life cycle of a chicken,"""developed by literacy experts for students in grades kindergarten through three, this book follows chickens as they transform from eggs to adults through leveled text and related images, young readers will watch these creatures grow through every stage of life""--provided by publisher",what is a chicken? -- the egg stage -- the chick stage -- the adult stage,['chickens'],"['poultry', 'chickens']",s,{'chickens': 2}
the life cycle of a cow,"""developed by literacy experts for students in grades kindergarten through three, this book follows cows as they transform from birth to adult through leveled text and related images, young readers will watch these creatures grow through every stage of life""--provided by publisher",what is a cow? -- the calf stage -- the adult stage,['cows'],"['cows', 'dairy cattle', 'cattle']",s,{'cows': 1}
daring dalmatians,"looks at the facial features, body basics, personalities of dalmatians also includes a checklist to help readers decide if this is the right kind of dog for them illustrations reveal interesting details about the history and legends surrounding the breed",the dalmatian -- facial features -- body basics -- coat & color -- health & care -- exercise & training -- attitude & intelligence -- litters & puppies -- buying a dalmatian -- history of the breed -- tails of lore -- find the dalmatian -- the dalmatian quiz,['dalmatian dog'],"['dalmatian dog', 'dog breeds', 'beagle (dog breed)']",s,{'dalmatian dog': 1}
behavior of exotic pets,"""behavior of exotic pets is the first and only book on exotic pet behavior written by behavioral experts the book is divided into chapters devoted to particular species or group of species commonly kept as exotic pets the animals' normal behaviour natural history is explained descriptions of common behavioural problems are included along with recommendations for their treatment or management separate chapters on learning, welfare and behavioural pharmacology are also included, all with practical application for those treating or caring for exotic pets""--provided by publisher","machine generated contents note: 1 birds: passerines2 birds: psittacines3 snakes4 lizards5 chelonia6 amphibians7 ferrets8 rabbits9 guinea pigs10 mice, rats, and gerbils11 llamas12 miniature pet pigs13 miscellaneous exotic pets (hedgehogs, prairie dogs and sugar gliders)14 understanding how animals learn15 welfare concerns for captive wild animals16 behavioral pharmacology","['exotic animals', 'exotic animals', 'exotic animals', 'wildlife diseases', 'pet medicine', 'wild animals as pets']","['animal behavior', 'reptiles as pets', 'rodents as pets']",s,"{'exotic animals': 13, 'wildlife diseases': 71, 'pet medicine': 20, 'wild animals as pets': 4}"
naughty no more! : change unwanted behaviors through positive reinforcements,"explains how the clicker method of training that has proven successful with dogs can also be used to train cats to do such things as sit and stay, not scratch furniture, get along better with people, like a travel carrier, and do tricks",cats just wanna have fun! -- the counter surfer -- dangerous door darting -- the art of scratching -- matchmaking skills -- get serious about aggression -- trauma-free carriers and vet visits -- cats with bathroom issues -- tricks -- clicker training over time,"['cats', 'clicker training (animal training)']","['clicker training (animal training)', 'cat owners']",s,"{'cats': 7, 'clicker training (animal training)': 1}"
what in the world is a green garden?,learn about earth-friendly gardens that are good for the planet,what in the world is being green? -- green gardening -- in a green world -- how you can help -- let's think green -- take the green pledge,['sustainable agriculture'],"['gardening', 'organic gardening', 'community gardens']",s,{'sustainable agriculture': 12}
clinical pathology for the veterinary team,"""clinical pathology for the veterinary team is a concise, reliable resource for technical team members performing clinical diagnostic evaluation focusing on sample handling, machinery calibration, normal physiology and anatomy, clinical diagnostics, and disease processes, the book helps technical team members to consistently achieving high-quality results in lab work an essential bench-side reference for in-house laboratories, the book includes a dvd with interactive cases to build skills in reading and interpreting digital slides with chapters on blood counts, chemistry, urinalysis and electrolytes, advanced diagnostics, and cytology, clinical pathology for the veterinary team offers key technical information for consistently obtaining and evaluating samples the book is a practical resource for anyone performing lab work, including veterinary technicians, technician and veterinary students, and veterinarians""--provided by publisher","machine generated contents note: 1 sample handling & lab standardization - developing standard operating procedures -- 2 components of a normal complete blood count -- 3 hematology: the erythrocytes, white blood cells and the immune system -- 4 abnormalities in the red and white blood cell populations -- 5 renal physiology and anatomy, clinical diagnostics and disease -- 6 liver physiology and anatomy, clinical diagnostics and disease -- 7 pancreatic and gastrointestinal physiology and anatomy, clinical diagnostics and disease -- 8 electrolyte physiology, function and derangement -- 9 components of the urinalysis -- 10 evaluating the urinalysis with disease conditions -- 11 adrenal function and adrenal testing -- 12 blood gas -- 13 coagulation -- 14 emergency diagnostics - a discussion of shock and clinical diagnostics -- 15 obtaining samples from different body system and evaluating cytology",['veterinary pathology'],['veterinary clinical pathology'],s,{'veterinary pathology': 2}
doggie duties,"offers advice for those who have dogs as pets on how dogs are pack animals, and discusses veterinary care, cleaning up after a dog, feeding, play, visiting a dog park, bathing a dog, and caring for a puppy",leader of the pack -- doggie duties -- bow wow chow -- playtime -- tub-time tips -- puppy pointers,"['dogs', 'puppies']","['dog owners', 'dog trainers', 'dog rescue', 'rescue dogs']",s,"{'dogs': 27, 'puppies': 37}"
kitty care,discusses how to choose the right cat and then how to care for it,purrfect pets -- kittens -- cat play -- cat cuisine -- litter box basics -- the cat's meow -- vet visits,['kittens'],"['cat owners', 'library cats', 'kittens']",s,{'kittens': 3}
life with maxie,"radio journalist diane rehm tells the story of her long-haired chihuahua, maxie, and shares the positive impact of maxie's presence on her own life and happiness",longing for maxie -- smart pup -- a tiny barking machine -- stubborn little dog -- life has a way of changing -- companionship and comfort -- maxie's presence,"['chihuahua (dog breed)', 'human-animal relationships', 'chihuahua (dog breed)', 'women radio talk show hosts', 'radio talk show hosts']","['brittany spaniel', 'dog owners']",s,"{'chihuahua (dog breed)': 5, 'human-animal relationships': 70, 'women radio talk show hosts': 78, 'radio talk show hosts': 67}"
iguanas : cool pets!,"this volume provides brief information about iguanas, and their keeping as pets",the gentle giant -- the first iguana pets -- do you wanna iguana? -- caring for an iguana,['iguanas as pets'],"['iguanas as pets', 'reptiles as pets', 'amphibians as pets']",s,{'iguanas as pets': 1}
train your dog like a pro,"training is based only on positive reinforcement, patience, and persistence",part one : fundamental behaviors sit and watch down come some help if you're struggling -- part two : impulse-control behaviors sit-stay and down-stay wait and leave it walking on leash -- part three : maintaining and improving mixing it up taking it on the road social applications consolidation and maintenance -- part four : advanced behaviors heeling mat training retrieve sit pretty and roll over -- appendix : how training works : an overview -- glossary of animal training terms,['dogs'],"['animal training', 'dog trainers']",s,{'dogs': 62}
sunflowers,"introduces the life-cycle of the sunflower, discusses products that come from them, and describes how farmers harvest the seeds",sunny faces -- seed secrets -- summer sun -- flower power,['sunflowers'],"['sunflowers', 'wild flower gardening', 'flower gardening']",s,{'sunflowers': 1}
chickens,"presents general information about chickens, why people raise them, some of the various breeds, and how they grow from fertilized eggs to mature birds","useful birds -- first, the egg -- cool chicks -- hens and roosters -- life cycle round-up",['chickens'],"['poultry', 'chickens']",s,{'chickens': 2}
