title,abstract,toc,true_lcsh_subjects,top_similar_lcsh_subjects,category,true_label_ranks
understanding a nautical chart : a practical guide to safe navigation,"""navigation and charts fascinate novice and experienced seamen alike, and this book is the easiest way to gain an immediate and clear understanding of the information on the nautical chart there is a full explanation of how to establish the accuracy of charts to allow you to navigate with confidence and safety learning the abbreviations and symbols are critical to anybody using a chart and before you can use one, you must know them or at have easy access to the definitions, all of which are included in a full copy of the key to ukho charts (chart 5011) understanding nautical charts not only helps you to read a chart, crucially it allows you to understand that information and use it to navigate safely""--provided by publisher","what is a chart? -- a chart is never 100% accurate -- what the chart-maker does for us -- other relevant documentation -- how to use a chart -- orientation -- the basics (and where to find them) -- depth and elevations -- landmarks, lights and coastal features -- dangers: wrecks, rocks and obstructions -- navigation restrictions and limits -- radar and radio -- tides, tidal streams and currents -- small craft features -- other charting authorities -- gps -- digital charting -- symbols and abbreviations used on admiralty paper charts","['navigation', 'nautical charts']","['nautical charts', 'nautical astronomy', 'rule of the road at sea', 'aids to navigation', 'navigation (aeronautics)']",v,"{'navigation': 26, 'nautical charts': 1}"
guantánamo : an american history,"chronicles the history of guantanamo bay, from the founding fathers' desire to possess it to the controversial base it hosts today and the uber-patriotic american soldiers, civilians and their families that call the piece of land home",rediscovering guantánamo -- the new frontier -- independence day -- a cruel and awful truth -- carnal pleasures -- seeing red -- the american dream -- the haitian problem -- the chosen,['americans'],"['war on terrorism, 2001-2009', 'uss cole bombing incident, aden, yemen, 2000', 'counterinsurgency', 'afghan war, 2001-', 'military bases, chinese']",v,{'americans': 88}
to the ocean deep (piccard and walsh),"""a history of the bathyscaphe trieste's 1960 descent to the bottom of the ocean, detailing the challenges encountered, the individuals involved, the discoveries made, and how the expedition left its mark upon the world""--provided by publisher","mystery beneath the sea -- introducing the bathyscaphe -- into the deep -- to the bottom and back -- trieste crew panels -- jacques piccard -- don walsh -- robert dietz -- auguste piccard -- expedition journal entries -- ""a small steel ball"" -- ""leave nothing to chance"" -- ""this hadal realm"" -- ""the last great adventure"" -- timeline","['bathyscaphe', 'underwater exploration', 'explorers']","['underwater exploration', 'underwater archaeology', 'submersibles', 'oceanographic research ships', 'ocean travel']",v,"{'bathyscaphe': 51, 'underwater exploration': 1, 'explorers': 34}"
a gunner on a battleship in world war ii,"""an account by a gunner's mate on the battleship massachusetts of his experiences during action in world war ii in the atlantic and pacific theaters this close-up view of a sailor's life includes historical notes and 162 illustrations""--provided by publisher",epping -- price's neck -- casablanca -- panama and noumea -- nauru and truk -- palau and saipan -- leyte and cape engano -- luzon and gormosa -- okinawa and iwo jima -- kyushu and minami daito shima -- chichi jima and honshu -- sagami bay and yokosuka -- seattle and fall river,"['sailors', 'world war, 1939-1945', 'world war, 1939-1945', 'world war, 1939-1945']","['naval history', 'naval gunnery', 'naval history, modern', 'battleships', 'submarine warfare']",v,"{'sailors': 55, 'world war, 1939-1945': 67}"
the shipbuilder,"""explores the life of a colonial shipbuilder and his importance to the community, as well as everyday life responsibilities, and social practices during that time""--provided by publisher",shipbuilding in a new homeland -- a day in the shipyard -- a closer look -- the shipbuilder's community -- new ships for a new nation -- activity: making a figurehead -- glossary -- find out more,"['shipbuilding', 'shipwrights']","['shipwrights', 'shipbuilding industry', 'boatbuilding', 'shipbuilding', 'merchant ships']",v,"{'shipbuilding': 4, 'shipwrights': 1}"
voyage to jamestown : practical navigation in the age of discovery,"voyage to jamestown explores how sea navigation was accomplished during the era of discovery navigational methods and tools are presented within the setting of their use during a sea voyage of the period while this voyage features a fictional crew and ship, it is carefully reconstructed from actual events, circumstances, narratives, and historical figures, which demonstrates the challenges of marine navigation within the cultural experience of people who actually traveled the oceans centuries ago the fictional voyage follows the merchant galleon guyft from bristol, england, to virginia in 1611, captained by tristram hame with this narrative technique, the reader can absorb seafaring and navigation as practiced in the seventeenth century as if they were on board the ship navigational theory, methods, and instrumentation of the era are all engagingly presented within economic, political, scientific, and religious contexts to portray how the early navigator experienced his world--from publisher's description","introduction : the haven-finding art -- sea chariots and horses of england : guyft, her master, and the american enterprise -- break ground or weigh anchor : getting under way to virginia -- october 8, the azores -- beholding the diversity of days and nights : the universe of 1611 -- october 27, madeira -- he setteth for the sun : finding latitude -- november 27, new spain -- virginia","['navigation', 'naval art and science', 'ocean travel', 'seafaring life']","['nautical charts', 'sailing ships', 'ships, medieval', 'aids to navigation', 'merchant ships']",v,"{'navigation': 14, 'naval art and science': 18, 'ocean travel': 7, 'seafaring life': 13}"
today's marine heroes,describes acts of bravery and heroism performed by today's us army personnel,a tragic day -- in war and peace -- trapped in fallujah -- enemy in the darkness -- a human shield -- terror in tarmiya -- saving a soldier -- hero in a helicopter -- unstoppable -- ambush in ganjgal -- straight into danger -- the greatest sacrifice,"['heroes', 'iraq war, 2003-2011', 'afghan war, 2001-']","['marine accidents', 'marines', 'seamanship', 'women marines', 'naval history']",v,"{'heroes': 15, 'iraq war, 2003-2011': 82, 'afghan war, 2001-': 49}"
maritime challenges and priorities in asia : implications for regional security,"""maritime issues are particularly important for asian countries, where there is a high reliance on shipping routes for international trade, many difficult disputes over maritime boundaries, and the prospect of increasing tensions where maritime power might play a significant role this book provides a comprehensive survey of the maritime issues affecting asia""--publisher's description",managing good order at sea in the asia-pacific / sam bateman -- the historic attributes of the sea and maritime developments in the asia-pacific / geoffrey till -- carriage capacity of the straits of malacca and singapore / yee cheok hong -- indonesia's maritime challenges and priorities / hasjim djalal -- malaysia's maritime challenges and priorities / mohd nizam basiron -- myanmar's maritime challenges and priorities / maung aung myoe -- maintaining good order at sea : maritime challenges and priorities in the philippines / mary ann palma -- singapore's maritime interests / joshua ho -- thailand's maritime challenges and priorities / wilfried herrmann -- good order at sea : challenges and priorities of vietnam / nguyen hong thao -- china's maritime security : priorities and challenges / wang dong and jiang xin -- japan's maritime challenges and priorities / tetsuo kotani -- korea's maritime challenges and priorities / seokwoo lee -- america's maritime challenges and priorities : the asian dimension / james kraska -- australia's maritime challenges and priorities : recent developments and future prospects / robin warner -- maritime challenges and priorities in asia : an indian perspective / prabhakaran paleri -- new zealand's maritime challenges and opportunities / joanna mossop -- conclusion : identifying common maritime challenges and priorities / sam bateman,"['sea-power', 'marine resources', 'national security']","['maritime terrorism', 'sea control', 'sea-power', 'rule of the road at sea', 'warships']",v,"{'sea-power': 3, 'marine resources': 40, 'national security': 61}"
furthering maritime connectivity : india and southeast asia,"papers presented at a seminar jointly organized by national maritime foundation and s rajaratnam school of international studies, singapore, held at new delhi during nov 30-dec 1, 2009",section 1 historical perspective -- section 2 common challenges -- section 3 scope for cooperative mechanisms,"['navigation', 'navigation']","['maritime terrorism', 'trade routes', 'coastwise shipping', 'sea control', 'merchant ships']",v,{'navigation': 111}
"networks in the first global age, 1400-1800",contributed articles,"pt 1 situating the agenda : the many systems of the first global age -- pt 2 oceans, routes and ports : systems and networks -- pt 3 other networks : military, scientific, and terrestrial -- pt 4 dynamic cooperative commercial, financial, and cultural networks in europe and asia -- pt 5 systemic theories and the pitfalls of comparative history writing","['navigation', 'economic history']","['trade routes', 'economic history', 'ships, ancient', 'ships, medieval', 'merchant ships']",v,"{'navigation': 22, 'economic history': 2}"
the aircraft carrier in the 21st century,"proceedings of the 5th annual maritime power conference of the national maritime foundation, held at new delhi during 10-11 february 2010","section 1 introduction -- section 2 carrier operations : emerging doctrines, trends and challenges -- section 3 technological developments and challenges in construction of the aircraft carrier -- section 4 aircraft carrier operations : a historical perspective -- section 5 conclusion","['aircraft carriers', 'warships']","['aircraft carriers', 'nimitz class (aircraft carriers)', 'naval architecture', 'littoral combat ships', 'naval aviation']",v,"{'aircraft carriers': 1, 'warships': 23}"
guide to ship sanitation,"""the third edition of the guide to ship sanitation presents the public health significance of ships in terms of disease and highlights the importance of applying appropriate control measures""--back cover",introduction -- water -- food -- recreational water environments -- ballast water -- waste management and disposal -- vector and reservoir control -- controlling infectious diseases in the environment,['ships'],"['oceanographic research ships', 'ocean liners', 'cargo ships', 'ships, medieval', 'search and rescue boats']",v,{'ships': 15}
on the attack against rok ship cheonan,"on march 26, 2010, an unprecedented incident in which roks cheonan was sunk by a surprise torpedo attack by a north korean submarine occurred, resulting in the death of 46 crew members the ministry of national defense organized the civilian-military joint investigation group on march 31 in order to clearly identify the cause of the sinking as well as the entity responsible for the incident the civilian-military joint investigation group proceeded with the investigation with the participation of civilian and foreign experts to ensure objectivity and credibility the final investigation results were announced on may 20 the civilian-military joint investigation group reported the investigation results to the un security council on june 14 as a result, un security council presidential statement that acknowledges and condemns north korea's culpability in the incident was unanimously adopted north korea continues to deny the facts and has heightened its threats of military provocations, claiming that the republic of korea fabricated the investigation results",preface -- summary -- overview -- analysis on possible causes of the sinking -- detailed analysis results by teams -- conclusion,"['shipwrecks', 'marine accidents', 'maritime terrorism']","['maritime terrorism', 'marine accidents', 'nuclear submarines', 'submarine warfare', 'submarines (ships)']",v,"{'shipwrecks': 41, 'marine accidents': 2, 'maritime terrorism': 1}"
investigation report into the appointment and conduct of hamish sharp in the national maritime safety authority board : final report,this is a final report of an investigation conducted by the ombudsman commission into the appointment of mr hamish sharp to the national maritime safety authority (nmsa) board and the conduct of mr hamish sharp in the nmsa board meetings,1 jurisdiction and purpose of the investigation -- 2 finding of facts : appointment process -- 3 finding of facts : conflict of interest -- 4 findings of wrong conduct -- 5 recommendations -- 6 conclusion -- 7 relevant laws,"['misconduct in office', 'administrative responsibility']","['maritime terrorism', 'marine accidents', 'marine engineers', 'ship captains', 'naval architects']",v,"{'misconduct in office': 42, 'administrative responsibility': 45}"
100 years of marine corps aviation : an illustrated history,"this commemorative work offers a snapshot view of the people, aircraft, and events that comprise the first century of marine aviation featuring a foreword by john glenn, jr, it showcases the achievements of marine aviation through seldom seen photographs and accounts of pivotal battles and events an oral history cd is included in the back of the book, providing the text and photos with first-hand accounts from select marine aviators additionally, this publication offers several appendices to serve as a reference","laying the groundwork dawning of awareness, 1912-1916 -- a force in the fight, 1917-1919 -- ""of what practical use?"", 1919-1926 -- men with a mission, 1926-1934 -- mobilizing the force upping the ante, 1935-1941 -- good corsair drivers, 1942-1943 -- the learning curve, 1944-1945 -- innovative readiness adapting to the threat, 1945-1960 -- the buildup, 1960-1967 -- the changing face of war, 1968-1975 -- the modern era reevaluation and readiness, 1975-1999 -- realizing the dream, 1999-2010","['airplanes, military', 'fighter pilots', 'marines', 'helicopters']","['naval aviation', 'naval history', 'naval history, modern', 'naval art and science', 'littoral combat ships']",v,"{'airplanes, military': 7, 'fighter pilots': 13, 'marines': 40, 'helicopters': 50}"
patrol and rescue boats on puget sound,"""the history of impressive battleships, aircraft carriers, and submarines on puget sound has been well chronicled however, the story of the smaller, fast patrol and rescue boats that have protected its vast inland waters is largely unknown this book, through more than 200 rare images and engaging text, reveals the fascinating story it covers navy, coast guard, and army air force craft in the sound, including the famed patrol torpedo boats of world war ii featuring evocative photographs from the national archives, as well as veterans' personal collections, this book highlights these military craft, their proud crews, and essential wartime and peacetime operations""--p 4 of cover",beginnings : patrolling the sound -- prohibition through world war ii : 1920-1945 -- the cold war era : 1946-1991 -- a patrol boat rescued : the cg-83527 story -- terrorism and sound security : 1992-2010,"['fast attack craft', 'search and rescue boats', 'combat patrols']","['search and rescue boats', 'torpedo-boats', 'naval history', 'submarine warfare', 'naval aviation']",v,"{'fast attack craft': 100, 'search and rescue boats': 1, 'combat patrols': 36}"
boats,"""features the fastest, most powerful, and most amazing boats on and in the sea provides stats and facts on each model of boat, including capacity, size, and cost""--provided by publisher",california quake drag boat -- june lee chinese junk -- deep flight submersible -- endeavour ship-rigged bark -- illbruck racing yacht -- james clark ross research ship -- los angeles fireboat no 2 -- nimitz-class aircraft carrier -- jahre viking oil supertanker -- polaris virage tx jetski -- stena discovery hss ferry -- the world luxury liner -- trent-type lifeboat -- glossary,"['ships', 'boats and boating']","['oceanographic research ships', 'search and rescue boats', 'torpedo-boats', 'motorboats', 'ocean liners']",v,"{'ships': 31, 'boats and boating': 6}"
submarines,"""describes how a submarine functions in the military with information on diving, surfacing, and navigating underwater contains facts and figures on specific submarine models""--provided by publisher",what is a submarine? -- submarine parts -- diving and surfacing -- moving underwater -- the control room -- submarines crews -- torpedoes -- missile submarine -- virginia submarine -- turtle -- glossary,['submarines (ships)'],"['submarines (ships)', 'submarine warfare', 'nuclear submarines', 'virginia class (submarines)', 'naval tactics']",v,{'submarines (ships)': 1}
marine expeditionary units,"""engaging images accompany information about marine expeditionary units the combination of high-interest subject matter and light text is intended for students in grades 2 through 7""--provided by publisher",marine expeditionary units -- meu gear -- meu missions -- glossary,['special forces (military science)'],"['military art and science', 'special forces (military science)', 'low-intensity conflicts (military science)', 'special operations (military science)', 'combined operations (military science)']",v,{'special forces (military science)': 2}
the united states marines,"""provides information on the training, missions, and equipment used by the united states marines""--provided by publisher",first to fight -- mighty marines -- becoming a marine -- equipped to fight -- ready for battle,['marines'],"['marines', 'women marines', 'military doctrine', 'special forces (military science)', 'naval gunnery']",v,{'marines': 1}
nimitz aircraft carriers,"""engaging images accompany information about nimitz aircraft carriers the combination of high-interest subject matter and light text is intended for students in grades 2 through 7""--provided by publisher",nimitz aircraft carriers -- the parts of nimitz aircraft carriers -- nimitz aircraft carrier missions -- glossary,"['aircraft carriers', 'nimitz class (aircraft carriers)']","['nimitz class (aircraft carriers)', 'aircraft carriers', 'naval architecture', 'naval history', 'naval art and science']",v,"{'aircraft carriers': 2, 'nimitz class (aircraft carriers)': 1}"
sea rescue,"""introduces nine sea emergency vehicles, such as lifeboats, jet skis, and coast guards explains and diagrams how each is equipped to rescue people in different situations at sea includes a reading quiz and web sites""--provided by publisher",splash and dash -- small and speedy -- ride the waves -- air cushion -- heavy weather -- high seas -- over and out -- sky patrol -- tow away,['search and rescue boats'],"['search and rescue boats', 'oceanographic research ships', 'torpedo-boats', 'marine accidents', 'underwater exploration']",v,{'search and rescue boats': 1}
world war ii us navy vessels in private hands : the boats and ships sold and registered for commercial and recreational purposes under the american flag,"""this comprehensive catalog documents the navy ships and boats sold after the war and registered under the american flag for commercial or recreational purposes focusing on those vessels with names or clearly identifiable hull numbers and crew accommodations, it chronicles each craft's prewar ownership, wartime history, and postwar fate""--provided by publisher","the vessels -- amh-mine sweeper, harbor -- apc-small transport, coastal -- at-ocean tugs -- lci(l)-landing craft, infantry, large -- lcs(l)-landing craft support, large -- lct-landing craft, tank -- lsm-landing ship, medium -- lst-landing ship, tank -- named craft -- pc-patrol craft -- pce-patrol craft, escort -- pcs-patrol craft, sweeper -- pt-patrol torpedo -- sc-submarine chaser -- sc-submarine chaser, canadian-built -- yag-miscellaneous auxiliary -- ydg-district degaussing vessel -- yms-auxiliary motor minesweeper -- yo-self-propelled fuel oil barge -- yog-self-propelled gasoline barge -- yol-coastal tanker -- yp-yard patrol -- yw-self-propelled water barge","['warships', 'world war, 1939-1945', 'boats and boating', 'surplus government property']","['naval history', 'aircraft carriers', 'torpedo-boats', 'virginia class (submarines)', 'naval aviation']",v,"{'warships': 19, 'world war, 1939-1945': 83, 'boats and boating': 37, 'surplus government property': 95}"
innovation in carrier aviation,this study is about innovations in carrier aviation and the spread of those innovations from one navy to the navy of a close ally the innovations are the angled flight deck; the steam catapult; and the mirror and lighted landing aid that enabled pilots to land jet aircraft on a carrier's short and narrow flight deck,buaer before world war ii -- buaer in world war ii -- the potential of the big bomber -- royal navy wartime experience and analysis -- adopting jet engines -- british and american prospects after the war -- the flexdeck -- catapults : choosing an option under pressure -- analysis,"['naval aviation', 'aircraft carriers', 'technology transfer']","['aircraft carriers', 'naval aviation', 'naval history', 'naval history, modern', 'naval architecture']",v,"{'naval aviation': 2, 'aircraft carriers': 1, 'technology transfer': 119}"
"boats, boffins and bowlines : the stories of sailing inventors and innovations","which woman made the first solo transatlantic crossing? who saved thousands of lives with the invention of navigation lights? what is the story behind the invention of the compass? who was francis beaufort and how did he come to devise the beaufort wind scale, still used to this day? why did william petty invent the catamaran (in 1662)? many of us know the story of modern sailing pioneers dame ellen macarthur and francis chichester, claire francis and the challengers of the americas cup-- but what about those unsung heroes who invented the mechanisms and technology which enabled sailors to speed across the oceans and navigate more safely","sailing pioneers -- navigation and pilotage -- weather and signals -- sails and rigging -- keels and hulls -- engines, steering and anchors -- emergencies","['sailboats', 'sailing', 'aids to navigation']","['sailing ships', 'sailboats', 'boats and boating', 'ships, medieval', 'sailing']",v,"{'sailboats': 2, 'sailing': 5, 'aids to navigation': 39}"
coasters : an illustrated history,richly illustrated historical survey of the development of coastal shipping across the world,coastal cargo liners of the nineteenth century -- genesis of the steam collier -- the ubiquitous steam coaster -- steam engine amidships -- the collier develops -- the coastal tanker -- early british motor coasters -- enter the dutch coaster-- the british response -- other western european motor coasters -- eastern european coasters -- coastal steam liners in the twentieth century -- coastal motor liners -- container coasters -- asian assortment -- specialised coasters,"['coasters (ships)', 'coasters (ships)', 'coastwise shipping']","['coasters (ships)', 'ocean liners', 'sailing ships', 'ships, medieval', 'torpedo-boats']",v,"{'coasters (ships)': 1, 'coastwise shipping': 7}"
service : a navy seal at war,"the author, a navy seal, returned from his star-crossed mission in afghanistan with his bones shattered and his heart broken so many had given their lives to save him, and he would have readily done the same for them as he recuperated, he wondered why he and others, from america's founding to today, had been willing to sacrifice everything, including themselves, for the sake of family, nation, and freedom in this book, we follow the author to iraq, where he returns to the battlefield as a member of seal team 5 to help take on the most dangerous city in the world, ramadi, the capital of war-torn al anbar province there, in six months of high-intensity urban combat, he would be part of what has been called the greatest victory in the history of us special operations forces we also return to afghanistan and operation redwing, where he offers powerful new details about his miraculous rescue throughout, he reflects on what it really means to take on a higher calling, about the men he's seen lose their lives for their country, and the legacy of those who came and bled before","brotherhood -- how we fight one more round ; seal team 5, alfa platoon ; never quit ; into the hornet's nest ; shakeout patrol ; firecracker ; old men of anbar ; under fire and blown to hell ; frogman down ; ""we're not going to make it out of here alive"" ; my enemy, my friend ; going south ; sniper one ; flight to al asad ; blood and victory -- how we live hitting the wall ; angels on my shoulder ; ""you might want to pray now"" ; that others may live ; stir-crazy ; family ties -- how we die heroes of the day ; the warrior queens ; links in the chain -- the flaming ferris wheel spins -- naval special operations personnel killed in action, 1943-present","['afghan war, 2001-', 'afghan war, 2001-', 'iraq war, 2003-2011', 'iraq war, 2003-2011']","['combat patrols', 'seamanship', 'special operations (military science)', 'special forces (military science)', 'combat survival']",v,"{'afghan war, 2001-': 10, 'iraq war, 2003-2011': 44}"
ship construction,"""acting as both a professional reference on current approaches in shipyard practice and a comprehensive introduction for students in any marine discipline, ship construction covers the complete construction process, from ship specification to completed vessel"" -- page 4 of cover","part one: introduction to shipbuilding -- basic design of the ship -- ship dimensions, form, size, or category -- development of ship types -- part two: materials and strength of ships -- classification societies -- steels -- other shipbuilding materials -- testing of materials -- stresses to which a ship is subject -- part three: welding and cutting -- welding and cutting processes used in shipbuilding -- welding practice and testing welds -- part four: shipyard practice -- shipyard layout -- design information for production -- plate and section preparation and machining -- assembly of ship structure -- launching -- part five: ship structure -- bottom structure -- shell plating and framing -- bulkheads and pillars -- decks, hatches, and superstructures -- fore end structure -- aft end structure -- tanker construction -- liquified gas carriers -- part six: outfit -- cargo lifting arrangements -- cargo access, handling, and restraint -- pumping and piping arrangements -- corrosion control and antifouling systems -- heating, ventilation, air-conditioning, refrigeration, and insulation -- part seven: international regulations -- international maritime organization -- tonnage -- load line rules -- structural fire protection","['shipbuilding', 'shipbuilding', 'naval architecture', 'naval architecture']","['shipbuilding industry', 'shipbuilding', 'naval architecture', 'marine engineering', 'boatbuilding']",v,"{'shipbuilding': 2, 'naval architecture': 3}"
navy seals,"discusses the united states navy seals, including their history, what kind of missions they perform, and a timeline of important dates and battles",target : bin laden -- waging war from the water -- navy seals in vietnam and beyond -- a seal's life -- important dates and battles -- stop and think,['special operations (military science)'],"['naval history', 'naval history, modern', 'naval tactics', 'submarine warfare', 'special forces (military science)']",v,{'special operations (military science)': 7}
naval aviation budgeting : cost adjustment sheets and the flying hour program,"the rand research team focused on cost adjustment sheets (cass) and their role in the navy's flying hour program (fhp) budgeting process in recent years, most cass have increased the fhp budget in addition, cass have been far more utilized by the f/a-18 program than by program offices for most other types of naval aircraft rand assessed the contribution of cass to the accuracy of fhp budgets and whether cas usage is correlated with expenditure-per-flying-hour growth rand also examined why cass have been used more heavily by the f/a-18 program",introduction -- an analysis of cost adjustment sheets -- differences between budgets and expenditures -- expenditures-per-flying-hour growth by t/m/s -- conclusions,['naval aviation'],"['naval aviation', 'airplanes, military', 'aircraft carriers', 'military planning', 'combined operations (military science)']",v,{'naval aviation': 1}
us marines,"""an introduction to what the us marine corps is, what recruits do, and jobs soldiers could learn includes descriptions of missions to do recon in afghanistan and to save americans trapped in unrest in the middle east""-- provided by publisher",marine spy mission -- learning the ropes -- the home front -- stationed overseas -- serving our country,['marines'],"['marines', 'sociology, military', 'military education', 'basic training (military education)', 'combat patrols']",v,{'marines': 1}
marine corps forces special operations command,"""a chronological account of the american special forces unit known as marine special ops, including key details about important figures, landmark missions, and controversies""-- provided by publisher",tactics from tripoli to today -- training the best of the best -- tools of the trade -- notable marsoc missions -- glossary,['special forces (military science)'],"['special operations (military science)', 'special forces (military science)', 'combined operations (military science)', 'marines', 'unified operations (military science)']",v,{'special forces (military science)': 2}
marine expeditionary units,"""an introduction to the life of a marine in a marine expeditionary unit (meu) describes some of the missions assigned to meus, how they train, and their role in the us armed forces""-- provided by publisher",saving lives -- elite training -- overseas -- the home front -- serving our country,['special forces (military science)'],"['marines', 'special forces (military science)', 'military education', 'sociology, military', 'special operations (military science)']",v,{'special forces (military science)': 2}
big machines float!,"""these fabulous books are a must for any young reader with an interest in vehicles and machines each book is filled with amazing machines, fun facts, jokes, and age-appropriate text in colorful boxes this book takes a close look at machines that can float including cruise ships, hovercraft, and ice-breakers find out which floating machine is the mightiest of them all!-- provided by publisher",break it up -- floating crane -- huge hovercraft -- wide load -- fun in the sun -- mast from the past -- cruise ship -- super sub -- sizing things up -- quiz,"['boats and boating', 'ships', 'machinery']","['electric boats', 'motorboats', 'submersibles', 'coasters (ships)', 'ship propulsion']",v,"{'boats and boating': 17, 'ships': 22, 'machinery': 6}"
"the american clipper ship, 1845-1920 : a comprehensive history, with a listing of builders and their ships","""this work offers a new and comprehensive account of the fastest and most beautiful sailing ships ever built it explores the quest for speed on the seas from the early 1800s through the fast-paced times of the 1850s their builders in east coast states from maine to florida are discussed in detail ""-- provided by publisher","the history of the clipper -- westward ho: the coming of the clipper -- challenge: the design of a clipper ship -- young mechanic: the building of a clipper ship -- architect: the clipper ship builders -- intrepid: clipper ship commanders, crew and passengers -- wild rover: clipper ship voyages and trade -- titan: clipper ship owners and agents -- sweepstakes: fast passages and record setting voyages -- hurricane: shipwrecks and other noteworthy clipper events -- twilight: the end of the american clipper ship era -- clipper builders and their ships by state","['clipper ships', 'merchant marine', 'merchant marine', 'shipbuilding']","['clipper ships', 'naval history', 'oceanographic research ships', 'sailing ships', 'naval history, modern']",v,"{'clipper ships': 1, 'merchant marine': 75, 'shipbuilding': 18}"
the social corps : the usmc social media principles,this handbook outlines the marine corps' social media principles -- to empower marines to participate with our social media community the intent is to engage in greater discussion as even better communicators and improved representatives of our corps,"marine corps social media principles -- social media for leaders -- personal behavior : what the corps asks of you -- be safe out there! -- you're the social media marine : now what? -- professional behavior : guidance for official posts -- set up ground rules for your fans, and for you -- maintaining operations security -- using social media for crisis communications -- social media and families -- blogging -- 15 tips to stay safe and out of trouble online -- frequently asked questions","['social media', 'online social networks', 'communications, military']","['armed forces and mass media', 'marines', 'sociology, military', 'marine corps spouses', 'communications, military']",v,"{'social media': 16, 'online social networks': 17, 'communications, military': 5}"
the golden age of sail : an illustrated guide to great sailing ships from the sixteenth to the twentieth centuries,"the first capital ships were intended as flagships - conspicuous in their size, flying the banner of an admiral, and acting as a lead vessel to a fleet of smaller craft but by the end of the 16th century, their value as fighting machines encouraged the maritime countries of europe to build more big warships what followed was three centuries of big-gun sailing warships, before steam power took over the golden age of sail selects the best of these vessels, from henry grace a dieu, launched in 1514, through to the 19th century ironclad steam-and-sail ships, such as hms alexandra and konig wilhelm the book devotes a spread to each featured vessel, with expert text putting each ship into its historical, military and naval context throughout specifications are provided for each ship, with feature boxes outlining development and annotations pointing out particular details unique graphics allow the reader to compare specific features featuring spectacular color profile artworks, the golden age of sail is a superb celebration of 100 ships from 400 years of nautical history",from henry grace a dieu (1514) to eole (1789) -- from hms boyne (1790) to uss pennsylvania (1837) -- from uss mississippi (1842) to amerigo vespucci (1931),"['sailing ships', 'sailing ships']","['naval history, modern', 'sailing ships', 'naval history', 'ships, medieval', 'merchant ships']",v,{'sailing ships': 2}
not congruent but quite complementary : us and chinese approaches to nontraditional security,"this volume ""is the result of the china maritime studies institute's annual conference in newport during may 2010, which involved the participation of almost a dozen chinese specialist presenters, who were able to exchange ideas with their american counterparts""--p 2","introduction / lyle j goldstein -- the role of nts issues in the china-us relationship / yu wanli and xiao he -- new directions in chinese security policy / bates gill -- the pla navy's gulf of aden mission as capability building against nts threats / you ji -- the pla (re-)discovers nontraditional security / andrew scobell and gregory stevenson -- issues in the transformation of china's engagement with international peacekeeping / pang zhongying -- chinese peacekeeping in the asia pacific: a case study of east timor / lyle j goldstein and kathleen a walsh -- lessons from mumbai: chinese analysts assess the threat of maritime terrorism / sun kai and guo peiqing -- us and chinese approaches to peacekeeping and stability operations / dennis j blasko -- on china-us relations and nts cooperation / maj gen pan zhenqiang, people's liberation army (ret) -- china's maritime reemergence and us-china naval cooperation in the nts domain / kristen gunness","['national security', 'maritime terrorism', 'maritime terrorism', 'security, international']","['maritime terrorism', 'military doctrine', 'civil-military relations', 'military bases, chinese', 'sea control']",v,"{'national security': 9, 'maritime terrorism': 1, 'security, international': 11}"
a guide to the collision avoidance rules : international regulations for preventing collisions at sea,"a guide to the collision avoidance rules is the essential reference to the safe operation of all vessels at sea published continuously since 1965, this respected and expert guide is the classic text for all who need to practically and legally understand and comply with 'the rules' this seventh edition includes the full text of the international regulations for preventing collisions at sea, with practical discussion of the implications of the rules included alongside all updates seen over the years, including the most recent amendments which came into force in december 2009 the books sets out the 'colregs' with clear explanation of their meaning, and gives detailed examples of how the rules have been used in practice by seafarers, as well as excerpts from court judgments to illustrate how they have been interpreted in practice written for seagoing engineers, navigating officers, senior crew, cadets and those in training, plus ship operators, marine lawyers and anyone concerned with the safe operation of shipping, this is an essential reference at sea and on shore includes the full text of the international regulations for preventing collisions at sea, updated in line with the december 2009 amendments to the rules contains practical advice on how the regulations should be interpreted and collisions avoided, with insightful discussion of the implications of key phrases and court interpretations covers important maneuvering information, with diagrams covering stopping distances, turning circles of ships of various type and size, and a color section with examples of ships' lights","preface -- collisions and the courts -- history of collision regulations -- international regulations for preventing collisions at sea, 1972 (with comments) -- part a - general: rules 1-3 -- part b - steering and sailing rules: rules 4-19 -- part c - lights and shapes: rules 20-31 -- part d - sound and light signals: rules 32-37 -- part e - exemptions -- annexes to the rules -- international convention on standards of training, certification and watchkeeping fopr seafarers, 1978 -- imo recommendation on navigational watchkeeping -- international convention on standards of training, certification and watchkeeping for seafarers, 1978, as amended -- change of bearing with change of range -- manœuvres to avoid collision -- manœuvring information - list of ships","['rule of the road at sea', 'collisions at sea']","['collisions at sea', 'rule of the road at sea', 'naval tactics', 'maritime terrorism', 'sea control']",v,"{'rule of the road at sea': 2, 'collisions at sea': 1}"
